Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,id
0.66,759.5,318.5,220.5,3.5,2,0.0,0,7.18,12.4,27
0.66,759.5,318.5,220.5,3.5,3,0.0,0,7.1,12.23,28
0.66,759.5,318.5,220.5,3.5,4,0.0,0,7.1,12.4,29
0.64,784.0,343.0,220.5,3.5,2,0.0,0,10.85,16.78,30
0.64,784.0,343.0,220.5,3.5,3,0.0,0,10.54,16.8,31
0.64,784.0,343.0,220.5,3.5,4,0.0,0,10.77,16.75,32
0.64,784.0,343.0,220.5,3.5,5,0.0,0,10.56,16.67,33
0.62,808.5,367.5,220.5,3.5,3,0.0,0,8.49,12.22,34
0.62,808.5,367.5,220.5,3.5,4,0.0,0,8.45,12.08,35
0.62,808.5,367.5,220.5,3.5,5,0.0,0,8.5,12.04,36
0.98,514.5,294.0,110.25,7.0,2,0.1,1,24.58,26.47,37
0.98,514.5,294.0,110.25,7.0,4,0.1,1,24.63,26.44,38
0.98,514.5,294.0,110.25,7.0,5,0.1,1,24.59,26.29,39
0.9,563.5,318.5,122.5,7.0,2,0.1,1,29.03,32.92,40
0.9,563.5,318.5,122.5,7.0,3,0.1,1,29.87,29.87,41
0.86,588.0,294.0,147.0,7.0,2,0.1,1,26.28,30.89,42
0.86,588.0,294.0,147.0,7.0,3,0.1,1,26.91,25.6,43
0.86,588.0,294.0,147.0,7.0,4,0.1,1,26.37,27.03,44
0.86,588.0,294.0,147.0,7.0,5,0.1,1,25.27,31.73,45
0.82,612.5,318.5,147.0,7.0,3,0.1,1,24.03,24.91,46
0.82,612.5,318.5,147.0,7.0,4,0.1,1,23.54,24.61,47
0.79,637.0,343.0,147.0,7.0,2,0.1,1,35.56,41.68,48
0.76,661.5,416.5,122.5,7.0,2,0.1,1,32.96,33.87,49
0.76,661.5,416.5,122.5,7.0,5,0.1,1,32.21,33.67,50
0.74,686.0,245.0,220.5,3.5,3,0.1,1,10.43,13.71,51
0.74,686.0,245.0,220.5,3.5,4,0.1,1,10.36,13.48,52
0.74,686.0,245.0,220.5,3.5,5,0.1,1,10.39,13.7,53
0.69,735.0,294.0,220.5,3.5,2,0.1,1,11.11,14.28,54
0.69,735.0,294.0,220.5,3.5,4,0.1,1,11.09,14.3,55
0.69,735.0,294.0,220.5,3.5,5,0.1,1,11.16,14.45,56
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69,13.72,57
0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69,13.65,58
0.64,784.0,343.0,220.5,3.5,2,0.1,1,15.41,19.37,59
0.64,784.0,343.0,220.5,3.5,3,0.1,1,15.2,19.43,60
0.64,784.0,343.0,220.5,3.5,5,0.1,1,15.21,19.32,61
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96,14.34,62
0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97,14.5,63
0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93,14.33,64
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02,14.27,65
0.98,514.5,294.0,110.25,7.0,2,0.1,2,24.29,25.95,66
0.98,514.5,294.0,110.25,7.0,4,0.1,2,24.13,26.13,67
0.98,514.5,294.0,110.25,7.0,5,0.1,2,24.25,25.89,68
0.9,563.5,318.5,122.5,7.0,2,0.1,2,28.88,32.54,69
0.9,563.5,318.5,122.5,7.0,4,0.1,2,28.83,29.36,70
0.9,563.5,318.5,122.5,7.0,5,0.1,2,27.9,34.2,71
0.86,588.0,294.0,147.0,7.0,2,0.1,2,26.48,30.91,72
0.86,588.0,294.0,147.0,7.0,3,0.1,2,27.02,25.63,73
0.86,588.0,294.0,147.0,7.0,4,0.1,2,26.33,27.36,74
0.86,588.0,294.0,147.0,7.0,5,0.1,2,25.36,31.9,75
0.82,612.5,318.5,147.0,7.0,2,0.1,2,23.75,27.38,76
0.82,612.5,318.5,147.0,7.0,4,0.1,2,23.67,24.8,77
0.82,612.5,318.5,147.0,7.0,5,0.1,2,22.79,28.79,78
0.79,637.0,343.0,147.0,7.0,2,0.1,2,35.65,41.07,79
0.79,637.0,343.0,147.0,7.0,3,0.1,2,37.26,34.62,80
0.79,637.0,343.0,147.0,7.0,4,0.1,2,36.97,33.87,81
0.79,637.0,343.0,147.0,7.0,5,0.1,2,36.03,42.86,82
0.76,661.5,416.5,122.5,7.0,2,0.1,2,33.16,33.91,83
0.76,661.5,416.5,122.5,7.0,3,0.1,2,32.4,34.07,84
0.76,661.5,416.5,122.5,7.0,5,0.1,2,32.41,33.78,85
0.74,686.0,245.0,220.5,3.5,3,0.1,2,10.46,13.72,86
0.74,686.0,245.0,220.5,3.5,4,0.1,2,10.32,13.57,87
0.74,686.0,245.0,220.5,3.5,5,0.1,2,10.45,13.79,88
0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64,13.67,89
0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72,14.11,90
0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.55,13.8,91
0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.68,14.21,92
0.69,735.0,294.0,220.5,3.5,2,0.1,2,11.45,13.2,93
0.69,735.0,294.0,220.5,3.5,3,0.1,2,11.46,13.54,94
0.69,735.0,294.0,220.5,3.5,4,0.1,2,11.32,13.32,95
0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45,14.86,96
0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33,15.0,97
0.64,784.0,343.0,220.5,3.5,4,0.1,2,15.34,19.32,98
0.64,784.0,343.0,220.5,3.5,5,0.1,2,15.19,19.3,99
0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.88,14.37,100
0.62,808.5,367.5,220.5,3.5,3,0.1,2,13.0,14.57,101
0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97,14.27,102
0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04,14.24,103
0.98,514.5,294.0,110.25,7.0,2,0.1,3,24.28,25.68,104
0.98,514.5,294.0,110.25,7.0,3,0.1,3,24.4,26.02,105
0.98,514.5,294.0,110.25,7.0,4,0.1,3,24.11,25.84,106
0.98,514.5,294.0,110.25,7.0,5,0.1,3,24.35,26.14,107
0.9,563.5,318.5,122.5,7.0,3,0.1,3,29.01,32.85,108
0.9,563.5,318.5,122.5,7.0,4,0.1,3,29.62,30.08,109
0.9,563.5,318.5,122.5,7.0,5,0.1,3,29.05,29.67,110
0.86,588.0,294.0,147.0,7.0,2,0.1,3,25.41,31.73,111
0.86,588.0,294.0,147.0,7.0,3,0.1,3,26.47,31.01,112
0.86,588.0,294.0,147.0,7.0,4,0.1,3,26.89,25.9,113
0.82,612.5,318.5,147.0,7.0,2,0.1,3,22.93,28.68,114
0.82,612.5,318.5,147.0,7.0,3,0.1,3,23.84,27.54,115
0.82,612.5,318.5,147.0,7.0,5,0.1,3,23.87,24.93,116
0.79,637.0,343.0,147.0,7.0,2,0.1,3,35.78,43.12,117
0.79,637.0,343.0,147.0,7.0,3,0.1,3,35.48,41.22,118
0.79,637.0,343.0,147.0,7.0,4,0.1,3,36.97,35.1,119
0.79,637.0,343.0,147.0,7.0,5,0.1,3,36.7,34.29,120
0.76,661.5,416.5,122.5,7.0,4,0.1,3,32.33,34.48,121
0.76,661.5,416.5,122.5,7.0,5,0.1,3,33.24,34.5,122
0.74,686.0,245.0,220.5,3.5,3,0.1,3,10.34,13.36,123
0.74,686.0,245.0,220.5,3.5,4,0.1,3,10.35,13.65,124
0.74,686.0,245.0,220.5,3.5,5,0.1,3,10.38,13.49,125
0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77,14.14,126
0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68,13.77,127
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7,13.87,128
0.69,735.0,294.0,220.5,3.5,2,0.1,3,11.22,14.44,129
0.69,735.0,294.0,220.5,3.5,3,0.1,3,11.16,14.27,130
0.69,735.0,294.0,220.5,3.5,4,0.1,3,11.1,14.67,131
0.69,735.0,294.0,220.5,3.5,5,0.1,3,11.14,14.4,132
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59,13.46,133
0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53,13.59,134
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61,13.83,135
0.64,784.0,343.0,220.5,3.5,2,0.1,3,15.16,19.14,136
0.64,784.0,343.0,220.5,3.5,3,0.1,3,15.36,19.18,137
0.64,784.0,343.0,220.5,3.5,4,0.1,3,15.12,19.37,138
0.64,784.0,343.0,220.5,3.5,5,0.1,3,15.36,19.29,139
0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68,14.09,140
0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63,14.23,141
0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71,14.14,142
0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73,13.89,143
0.98,514.5,294.0,110.25,7.0,4,0.1,4,24.04,26.18,144
0.98,514.5,294.0,110.25,7.0,5,0.1,4,24.32,25.87,145
0.9,563.5,318.5,122.5,7.0,3,0.1,4,28.05,33.91,146
0.9,563.5,318.5,122.5,7.0,4,0.1,4,28.86,32.83,147
0.86,588.0,294.0,147.0,7.0,2,0.1,4,26.44,27.17,148
0.86,588.0,294.0,147.0,7.0,3,0.1,4,25.37,31.76,149
0.86,588.0,294.0,147.0,7.0,4,0.1,4,26.33,31.06,150
0.86,588.0,294.0,147.0,7.0,5,0.1,4,27.03,25.81,151
0.82,612.5,318.5,147.0,7.0,3,0.1,4,22.8,28.61,152
0.82,612.5,318.5,147.0,7.0,4,0.1,4,23.59,27.57,153
0.82,612.5,318.5,147.0,7.0,5,0.1,4,24.24,25.16,154
0.76,661.5,416.5,122.5,7.0,4,0.1,4,33.09,33.89,155
0.74,686.0,245.0,220.5,3.5,2,0.1,4,10.08,13.2,156
0.74,686.0,245.0,220.5,3.5,3,0.1,4,10.15,13.36,157
0.74,686.0,245.0,220.5,3.5,5,0.1,4,10.14,13.53,158
0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.68,14.12,159
0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53,13.79,160
0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72,14.2,161
0.69,735.0,294.0,220.5,3.5,2,0.1,4,11.18,14.29,162
0.69,735.0,294.0,220.5,3.5,3,0.1,4,11.22,14.49,163
0.69,735.0,294.0,220.5,3.5,4,0.1,4,11.07,14.42,164
0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.44,14.86,165
0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42,14.67,166
0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.33,15.0,167
0.64,784.0,343.0,220.5,3.5,2,0.1,4,15.4,19.24,168
0.64,784.0,343.0,220.5,3.5,3,0.1,4,15.19,19.25,169
0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85,14.37,170
0.62,808.5,367.5,220.5,3.5,3,0.1,4,13.04,14.34,171
0.62,808.5,367.5,220.5,3.5,4,0.1,4,13.0,14.28,172
0.98,514.5,294.0,110.25,7.0,2,0.1,5,24.35,25.64,173
0.98,514.5,294.0,110.25,7.0,3,0.1,5,24.33,25.98,174
0.98,514.5,294.0,110.25,7.0,4,0.1,5,24.03,25.88,175
0.98,514.5,294.0,110.25,7.0,5,0.1,5,24.26,26.18,176
0.9,563.5,318.5,122.5,7.0,3,0.1,5,29.08,29.52,177
0.9,563.5,318.5,122.5,7.0,4,0.1,5,28.03,34.45,178
0.9,563.5,318.5,122.5,7.0,5,0.1,5,29.02,33.01,179
0.86,588.0,294.0,147.0,7.0,2,0.1,5,27.03,25.82,180
0.86,588.0,294.0,147.0,7.0,3,0.1,5,26.45,27.33,181
0.86,588.0,294.0,147.0,7.0,5,0.1,5,26.45,31.28,182
0.82,612.5,318.5,147.0,7.0,2,0.1,5,24.37,25.11,183
0.82,612.5,318.5,147.0,7.0,3,0.1,5,23.89,24.77,184
0.82,612.5,318.5,147.0,7.0,5,0.1,5,23.86,27.69,185
0.79,637.0,343.0,147.0,7.0,2,0.1,5,37.03,34.99,186
0.79,637.0,343.0,147.0,7.0,3,0.1,5,36.71,34.18,187
0.79,637.0,343.0,147.0,7.0,4,0.1,5,36.77,43.14,188
0.76,661.5,416.5,122.5,7.0,3,0.1,5,33.21,34.35,189
0.76,661.5,416.5,122.5,7.0,4,0.1,5,32.46,33.64,190
0.76,661.5,416.5,122.5,7.0,5,0.1,5,33.27,33.88,191
0.74,686.0,245.0,220.5,3.5,4,0.1,5,10.34,13.72,192
0.74,686.0,245.0,220.5,3.5,5,0.1,5,10.39,13.5,193
0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78,14.18,194
0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.7,13.75,195
0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.67,14.26,196
0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.69,13.89,197
0.69,735.0,294.0,220.5,3.5,2,0.1,5,11.21,14.55,198
0.69,735.0,294.0,220.5,3.5,3,0.1,5,11.14,14.28,199
0.69,735.0,294.0,220.5,3.5,4,0.1,5,11.11,14.46,200
0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.38,14.54,201
0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34,14.81,202
0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.22,14.65,203
0.66,759.5,318.5,220.5,3.5,5,0.1,5,11.34,14.87,204
0.64,784.0,343.0,220.5,3.5,2,0.1,5,15.16,19.24,205
0.64,784.0,343.0,220.5,3.5,4,0.1,5,15.12,19.26,206
0.64,784.0,343.0,220.5,3.5,5,0.1,5,15.36,19.29,207
0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59,14.24,208
0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74,13.97,209
0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62,14.15,210
0.98,514.5,294.0,110.25,7.0,2,0.25,1,28.15,29.79,211
0.98,514.5,294.0,110.25,7.0,3,0.25,1,28.15,29.79,212
0.98,514.5,294.0,110.25,7.0,5,0.25,1,28.41,29.49,213
0.9,563.5,318.5,122.5,7.0,3,0.25,1,33.48,33.17,214
0.9,563.5,318.5,122.5,7.0,5,0.25,1,32.0,37.58,215
0.86,588.0,294.0,147.0,7.0,3,0.25,1,30.05,28.61,216
0.86,588.0,294.0,147.0,7.0,4,0.25,1,29.6,30.12,217
0.82,612.5,318.5,147.0,7.0,3,0.25,1,27.27,27.84,218
0.82,612.5,318.5,147.0,7.0,4,0.25,1,26.97,27.25,219
0.82,612.5,318.5,147.0,7.0,5,0.25,1,26.19,31.39,220
0.79,637.0,343.0,147.0,7.0,2,0.25,1,38.67,43.8,221
0.79,637.0,343.0,147.0,7.0,3,0.25,1,40.03,37.81,222
0.79,637.0,343.0,147.0,7.0,5,0.25,1,39.04,45.52,223
0.76,661.5,416.5,122.5,7.0,2,0.25,1,36.96,36.85,224
0.76,661.5,416.5,122.5,7.0,4,0.25,1,36.91,37.45,225
0.76,661.5,416.5,122.5,7.0,5,0.25,1,36.43,36.62,226
0.74,686.0,245.0,220.5,3.5,2,0.25,1,12.43,15.19,227
0.74,686.0,245.0,220.5,3.5,3,0.25,1,12.5,15.5,228
0.74,686.0,245.0,220.5,3.5,5,0.25,1,12.45,15.5,229
0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57,15.42,230
0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.65,15.85,231
0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57,15.44,232
0.69,735.0,294.0,220.5,3.5,2,0.25,1,12.78,15.21,233
0.69,735.0,294.0,220.5,3.5,3,0.25,1,12.93,15.63,234
0.69,735.0,294.0,220.5,3.5,4,0.25,1,12.73,15.48,235
0.69,735.0,294.0,220.5,3.5,5,0.25,1,12.72,15.78,236
0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.18,16.27,237
0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.17,16.39,238
0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.18,16.19,239
0.64,784.0,343.0,220.5,3.5,3,0.25,1,17.35,21.19,240
0.64,784.0,343.0,220.5,3.5,4,0.25,1,17.52,21.09,241
0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.09,15.77,242
0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12,15.95,243
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08,15.77,244
0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16,15.76,245
0.98,514.5,294.0,110.25,7.0,3,0.25,2,28.57,29.69,246
0.98,514.5,294.0,110.25,7.0,5,0.25,2,28.6,30.02,247
0.9,563.5,318.5,122.5,7.0,3,0.25,2,33.27,32.64,248
0.9,563.5,318.5,122.5,7.0,4,0.25,2,32.33,32.77,249
0.9,563.5,318.5,122.5,7.0,5,0.25,2,31.66,37.72,250
0.86,588.0,294.0,147.0,7.0,3,0.25,2,29.87,27.89,251
0.86,588.0,294.0,147.0,7.0,5,0.25,2,28.4,34.52,252
0.82,612.5,318.5,147.0,7.0,2,0.25,2,25.74,28.27,253
0.82,612.5,318.5,147.0,7.0,3,0.25,2,25.98,26.96,254
0.82,612.5,318.5,147.0,7.0,5,0.25,2,24.94,29.88,255
0.79,637.0,343.0,147.0,7.0,2,0.25,2,38.57,43.86,256
0.79,637.0,343.0,147.0,7.0,3,0.25,2,40.19,37.41,257
0.79,637.0,343.0,147.0,7.0,4,0.25,2,39.97,36.77,258
0.76,661.5,416.5,122.5,7.0,3,0.25,2,36.28,37.35,259
0.76,661.5,416.5,122.5,7.0,4,0.25,2,36.86,37.28,260
0.76,661.5,416.5,122.5,7.0,5,0.25,2,36.45,36.81,261
0.74,686.0,245.0,220.5,3.5,2,0.25,2,12.35,14.73,262
0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33,14.91,263
0.71,710.5,269.5,220.5,3.5,3,0.25,2,12.29,15.4,264
0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2,14.94,265
0.71,710.5,269.5,220.5,3.5,5,0.25,2,12.49,15.32,266
0.69,735.0,294.0,220.5,3.5,2,0.25,2,12.85,15.52,267
0.69,735.0,294.0,220.5,3.5,3,0.25,2,12.87,15.85,268
0.69,735.0,294.0,220.5,3.5,4,0.25,2,12.73,15.66,269
0.69,735.0,294.0,220.5,3.5,5,0.25,2,12.95,15.99,270
0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.05,15.89,271
0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93,15.85,272
0.66,759.5,318.5,220.5,3.5,4,0.25,2,12.77,16.22,273
0.64,784.0,343.0,220.5,3.5,2,0.25,2,17.14,20.47,274
0.64,784.0,343.0,220.5,3.5,4,0.25,2,17.02,20.48,275
0.64,784.0,343.0,220.5,3.5,5,0.25,2,17.11,20.43,276
0.62,808.5,367.5,220.5,3.5,2,0.25,2,14.34,15.32,277
0.62,808.5,367.5,220.5,3.5,3,0.25,2,14.66,15.64,278
0.98,514.5,294.0,110.25,7.0,2,0.25,3,28.67,29.43,279
0.98,514.5,294.0,110.25,7.0,3,0.25,3,28.56,29.78,280
0.98,514.5,294.0,110.25,7.0,4,0.25,3,28.17,30.1,281
0.98,514.5,294.0,110.25,7.0,5,0.25,3,28.63,30.19,282
0.9,563.5,318.5,122.5,7.0,2,0.25,3,31.63,36.35,283
0.9,563.5,318.5,122.5,7.0,3,0.25,3,32.4,35.1,284
0.9,563.5,318.5,122.5,7.0,4,0.25,3,32.68,32.83,285
0.9,563.5,318.5,122.5,7.0,5,0.25,3,32.29,32.46,286
0.86,588.0,294.0,147.0,7.0,2,0.25,3,28.4,33.52,287
0.86,588.0,294.0,147.0,7.0,3,0.25,3,29.4,32.93,288
0.86,588.0,294.0,147.0,7.0,5,0.25,3,29.07,29.82,289
0.82,612.5,318.5,147.0,7.0,3,0.25,3,25.48,27.76,290
0.82,612.5,318.5,147.0,7.0,4,0.25,3,25.37,26.95,291
0.82,612.5,318.5,147.0,7.0,5,0.25,3,25.17,26.41,292
0.79,637.0,343.0,147.0,7.0,2,0.25,3,39.04,45.13,293
0.79,637.0,343.0,147.0,7.0,3,0.25,3,38.35,43.66,294
0.79,637.0,343.0,147.0,7.0,4,0.25,3,39.81,37.76,295
0.79,637.0,343.0,147.0,7.0,5,0.25,3,39.83,36.87,296
0.76,661.5,416.5,122.5,7.0,4,0.25,3,35.64,37.28,297
0.76,661.5,416.5,122.5,7.0,5,0.25,3,36.52,37.29,298
0.74,686.0,245.0,220.5,3.5,2,0.25,3,11.8,14.49,299
0.74,686.0,245.0,220.5,3.5,4,0.25,3,11.98,14.72,300
0.71,710.5,269.5,220.5,3.5,2,0.25,3,12.41,14.92,301
0.71,710.5,269.5,220.5,3.5,3,0.25,3,12.28,14.74,302
0.71,710.5,269.5,220.5,3.5,4,0.25,3,12.1,15.57,303
0.71,710.5,269.5,220.5,3.5,5,0.25,3,12.19,14.94,304
0.69,735.0,294.0,220.5,3.5,2,0.25,3,12.34,14.92,305
0.69,735.0,294.0,220.5,3.5,3,0.25,3,12.46,14.38,306
0.69,735.0,294.0,220.5,3.5,4,0.25,3,12.31,15.44,307
0.69,735.0,294.0,220.5,3.5,5,0.25,3,12.12,15.17,308
0.66,759.5,318.5,220.5,3.5,2,0.25,3,12.97,15.53,309
0.66,759.5,318.5,220.5,3.5,3,0.25,3,13.01,15.8,310
0.66,759.5,318.5,220.5,3.5,4,0.25,3,12.74,16.14,311
0.66,759.5,318.5,220.5,3.5,5,0.25,3,12.84,16.26,312
0.64,784.0,343.0,220.5,3.5,2,0.25,3,16.83,19.87,313
0.64,784.0,343.0,220.5,3.5,4,0.25,3,16.66,20.46,314
0.64,784.0,343.0,220.5,3.5,5,0.25,3,16.86,20.28,315
0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.34,14.96,316
0.62,808.5,367.5,220.5,3.5,4,0.25,3,13.95,14.89,317
0.98,514.5,294.0,110.25,7.0,4,0.25,4,28.15,30.19,318
0.98,514.5,294.0,110.25,7.0,5,0.25,4,28.62,30.12,319
0.9,563.5,318.5,122.5,7.0,2,0.25,4,32.67,32.12,320
0.9,563.5,318.5,122.5,7.0,3,0.25,4,31.69,37.12,321
0.9,563.5,318.5,122.5,7.0,4,0.25,4,32.07,36.16,322
0.9,563.5,318.5,122.5,7.0,5,0.25,4,33.28,33.16,323
0.86,588.0,294.0,147.0,7.0,2,0.25,4,29.47,29.45,324
0.86,588.0,294.0,147.0,7.0,3,0.25,4,28.42,34.19,325
0.86,588.0,294.0,147.0,7.0,4,0.25,4,29.08,33.93,326
0.86,588.0,294.0,147.0,7.0,5,0.25,4,29.88,28.31,327
0.82,612.5,318.5,147.0,7.0,2,0.25,4,25.66,26.3,328
0.82,612.5,318.5,147.0,7.0,3,0.25,4,24.96,29.43,329
0.82,612.5,318.5,147.0,7.0,4,0.25,4,25.43,28.76,330
0.82,612.5,318.5,147.0,7.0,5,0.25,4,26.0,27.34,331
0.79,637.0,343.0,147.0,7.0,3,0.25,4,38.84,45.48,332
0.79,637.0,343.0,147.0,7.0,4,0.25,4,38.33,44.16,333
0.76,661.5,416.5,122.5,7.0,2,0.25,4,36.95,37.2,334
0.76,661.5,416.5,122.5,7.0,3,0.25,4,36.45,36.76,335
0.76,661.5,416.5,122.5,7.0,4,0.25,4,36.81,37.05,336
0.76,661.5,416.5,122.5,7.0,5,0.25,4,36.26,37.51,337
0.74,686.0,245.0,220.5,3.5,4,0.25,4,12.18,15.03,338
0.74,686.0,245.0,220.5,3.5,5,0.25,4,12.43,15.35,339
0.71,710.5,269.5,220.5,3.5,2,0.25,4,12.36,14.67,340
0.71,710.5,269.5,220.5,3.5,3,0.25,4,12.49,15.09,341
0.71,710.5,269.5,220.5,3.5,5,0.25,4,12.28,15.64,342
0.69,735.0,294.0,220.5,3.5,2,0.25,4,12.91,15.37,343
0.69,735.0,294.0,220.5,3.5,3,0.25,4,12.95,15.73,344
0.69,735.0,294.0,220.5,3.5,4,0.25,4,12.67,15.83,345
0.69,735.0,294.0,220.5,3.5,5,0.25,4,12.86,16.13,346
0.66,759.5,318.5,220.5,3.5,3,0.25,4,13.0,15.59,347
0.66,759.5,318.5,220.5,3.5,5,0.25,4,12.92,16.14,348
0.64,784.0,343.0,220.5,3.5,2,0.25,4,16.99,19.65,349
0.64,784.0,343.0,220.5,3.5,4,0.25,4,16.56,20.37,350
0.64,784.0,343.0,220.5,3.5,5,0.25,4,16.62,19.9,351
0.62,808.5,367.5,220.5,3.5,2,0.25,4,14.33,15.41,352
0.62,808.5,367.5,220.5,3.5,3,0.25,4,14.61,15.56,353
0.62,808.5,367.5,220.5,3.5,4,0.25,4,14.61,15.07,354
0.62,808.5,367.5,220.5,3.5,5,0.25,4,14.65,15.38,355
0.98,514.5,294.0,110.25,7.0,2,0.25,5,28.69,29.53,356
0.98,514.5,294.0,110.25,7.0,3,0.25,5,28.58,29.77,357
0.9,563.5,318.5,122.5,7.0,2,0.25,5,33.13,32.25,358
0.9,563.5,318.5,122.5,7.0,3,0.25,5,32.31,32.0,359
0.86,588.0,294.0,147.0,7.0,2,0.25,5,29.71,28.02,360
0.86,588.0,294.0,147.0,7.0,3,0.25,5,29.09,29.43,361
0.86,588.0,294.0,147.0,7.0,5,0.25,5,29.39,33.47,362
0.82,612.5,318.5,147.0,7.0,2,0.25,5,25.7,26.53,363
