id,Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution
114,0.74,686.0,245.0,220.5,350.0,5,0.25,3
115,0.71,710.5,269.5,220.5,350.0,3,0.4,2
116,0.69,735.0,294.0,220.5,350.0,5,0.1,4
117,0.74,686.0,245.0,220.5,350.0,2,0.1,3
118,0.69,735.0,294.0,220.5,350.0,3,0.25,5
119,0.9,563.5,318.5,122.5,700.0,5,0.0,0
120,0.9,563.5,318.5,122.5,700.0,2,0.1,4
121,0.69,735.0,294.0,220.5,350.0,5,0.1,5
122,0.76,661.5,416.5,122.5,700.0,5,0.0,0
123,0.62,808.5,367.5,220.5,350.0,5,0.25,2
124,0.9,563.5,318.5,122.5,700.0,3,0.1,2
125,0.64,784.0,343.0,220.5,350.0,5,0.4,5
126,0.69,735.0,294.0,220.5,350.0,4,0.4,4
127,0.79,637.0,343.0,147.0,700.0,5,0.1,5
128,0.98,514.5,294.0,110.25,700.0,3,0.1,4
129,0.76,661.5,416.5,122.5,700.0,3,0.4,1
130,0.98,514.5,294.0,110.25,700.0,4,0.0,0
131,0.76,661.5,416.5,122.5,700.0,5,0.1,4
132,0.62,808.5,367.5,220.5,350.0,4,0.25,2
133,0.74,686.0,245.0,220.5,350.0,2,0.4,3
134,0.71,710.5,269.5,220.5,350.0,4,0.4,2
135,0.64,784.0,343.0,220.5,350.0,4,0.4,4
136,0.86,588.0,294.0,147.0,700.0,5,0.4,5
137,0.79,637.0,343.0,147.0,700.0,5,0.4,4
138,0.74,686.0,245.0,220.5,350.0,5,0.4,2
139,0.64,784.0,343.0,220.5,350.0,3,0.4,2
140,0.71,710.5,269.5,220.5,350.0,5,0.1,1
141,0.76,661.5,416.5,122.5,700.0,4,0.4,4
142,0.98,514.5,294.0,110.25,700.0,3,0.25,4
143,0.9,563.5,318.5,122.5,700.0,4,0.25,5
144,0.9,563.5,318.5,122.5,700.0,3,0.4,4
145,0.66,759.5,318.5,220.5,350.0,3,0.1,2
146,0.74,686.0,245.0,220.5,350.0,4,0.1,4
147,0.9,563.5,318.5,122.5,700.0,5,0.1,1
148,0.9,563.5,318.5,122.5,700.0,3,0.4,5
149,0.79,637.0,343.0,147.0,700.0,5,0.25,2
150,0.9,563.5,318.5,122.5,700.0,4,0.4,1
151,0.86,588.0,294.0,147.0,700.0,2,0.25,2
152,0.86,588.0,294.0,147.0,700.0,2,0.25,1
153,0.71,710.5,269.5,220.5,350.0,4,0.25,4
154,0.82,612.5,318.5,147.0,700.0,2,0.1,1
155,0.64,784.0,343.0,220.5,350.0,4,0.4,2
156,0.86,588.0,294.0,147.0,700.0,4,0.25,2
157,0.9,563.5,318.5,122.5,700.0,4,0.25,1
158,0.66,759.5,318.5,220.5,350.0,5,0.1,4
159,0.9,563.5,318.5,122.5,700.0,2,0.25,2
160,0.9,563.5,318.5,122.5,700.0,5,0.4,1
161,0.79,637.0,343.0,147.0,700.0,4,0.25,1
162,0.62,808.5,367.5,220.5,350.0,4,0.4,4
163,0.64,784.0,343.0,220.5,350.0,4,0.1,1
164,0.64,784.0,343.0,220.5,350.0,3,0.25,2
165,0.64,784.0,343.0,220.5,350.0,5,0.1,4
166,0.82,612.5,318.5,147.0,700.0,4,0.1,3
167,0.76,661.5,416.5,122.5,700.0,3,0.1,1
168,0.76,661.5,416.5,122.5,700.0,2,0.1,5
169,0.69,735.0,294.0,220.5,350.0,5,0.1,2
170,0.62,808.5,367.5,220.5,350.0,2,0.0,0
171,0.76,661.5,416.5,122.5,700.0,4,0.1,1
172,0.74,686.0,245.0,220.5,350.0,2,0.1,5
173,0.98,514.5,294.0,110.25,700.0,3,0.4,4
174,0.62,808.5,367.5,220.5,350.0,4,0.1,5
175,0.79,637.0,343.0,147.0,700.0,2,0.4,3
176,0.66,759.5,318.5,220.5,350.0,5,0.1,2
177,0.74,686.0,245.0,220.5,350.0,3,0.4,5
178,0.76,661.5,416.5,122.5,700.0,3,0.1,3
179,0.76,661.5,416.5,122.5,700.0,2,0.1,3
180,0.71,710.5,269.5,220.5,350.0,2,0.0,0
181,0.69,735.0,294.0,220.5,350.0,2,0.4,2
182,0.9,563.5,318.5,122.5,700.0,5,0.4,2
183,0.74,686.0,245.0,220.5,350.0,4,0.4,5
184,0.9,563.5,318.5,122.5,700.0,2,0.25,1
185,0.64,784.0,343.0,220.5,350.0,2,0.1,2
186,0.98,514.5,294.0,110.25,700.0,2,0.25,4
187,0.74,686.0,245.0,220.5,350.0,4,0.4,1
188,0.71,710.5,269.5,220.5,350.0,5,0.25,1
189,0.79,637.0,343.0,147.0,700.0,4,0.4,2
190,0.9,563.5,318.5,122.5,700.0,4,0.0,0
191,0.66,759.5,318.5,220.5,350.0,5,0.4,2
